timestamp,time,pod_count,pending_pods,desired_scale,actual_scale,requested_scale,cpu_millicores,memory_mb,total_cpu,total_memory,avg_pod_age,is_cold_start,cold_start_time
1762377346.0564826,21:15:46,0,0,0,0,0,0,0,0,0,0,False,0
1762377351.9211617,21:15:51,0,0,0,0,0,0,0,0,0,0,False,0
1762377357.6746573,21:15:57,0,0,0,0,0,0,0,0,0,0,False,0
1762377363.1268237,21:16:03,0,0,0,0,0,0,0,0,0,0,False,0
1762377368.7135122,21:16:08,0,0,0,0,0,0,0,0,0,0,False,0
1762377374.5540156,21:16:14,0,0,0,0,0,0,0,0,0,0,False,0
1762377380.0842974,21:16:20,0,0,0,0,0,0,0,0,0,0,False,0
1762377385.517246,21:16:25,0,0,0,0,0,0,0,0,0,0,False,0
1762377391.117909,21:16:31,0,0,0,0,0,0,0,0,0,0,False,0
1762377396.6827633,21:16:36,0,0,0,0,0,0,0,0,0,0,False,0
1762377402.223456,21:16:42,0,0,0,0,0,0,0,0,0,0,False,0
1762377407.7467961,21:16:47,0,0,0,0,0,0,0,0,0,0,False,0
1762377413.2079806,21:16:53,0,0,0,0,0,0,0,0,0,0,False,0
1762377418.7418377,21:16:58,0,0,0,0,0,0,0,0,0,0,False,0
1762377424.925182,21:17:04,0,0,0,0,0,0,0,0,0,0,False,0
1762377430.4772234,21:17:10,0,0,0,0,0,0,0,0,0,0,False,0
1762377436.2545185,21:17:16,0,0,0,0,0,0,0,0,0,0,False,0
1762377441.7881095,21:17:21,0,0,0,0,0,0,0,0,0,0,False,0
1762377447.6899526,21:17:27,0,0,0,0,0,0,0,0,0,0,False,0
1762377453.194315,21:17:33,0,0,0,0,0,0,0,0,0,0,False,0
1762377458.7267635,21:17:38,0,0,0,0,0,0,0,0,0,0,False,0
1762377464.328543,21:17:44,0,0,0,0,0,0,0,0,0,0,False,0
1762377469.8762712,21:17:49,0,0,0,0,0,0,0,0,0,0,False,0
1762377475.4909384,21:17:55,0,0,0,0,0,0,0,0,0,0,False,0
1762377480.9720423,21:18:00,0,0,0,0,0,0,0,0,0,0,False,0
1762377486.496145,21:18:06,0,0,0,0,0,0,0,0,0,0,False,0
1762377492.2405832,21:18:12,0,0,0,0,0,0,0,0,0,0,False,0
1762377497.8401875,21:18:17,0,0,0,0,0,0,0,0,0,0,False,0
1762377503.2636943,21:18:23,0,0,0,0,0,0,0,0,0,0,False,0
1762377508.6816149,21:18:28,0,0,0,0,0,0,0,0,0,0,False,0
1762377514.1657536,21:18:34,0,0,0,0,0,0,0,0,0,0,False,0
1762377519.663905,21:18:39,0,0,0,0,0,0,0,0,0,0,False,0
1762377525.1987057,21:18:45,0,0,0,0,0,0,0,0,0,0,False,0
1762377531.0108957,21:18:51,0,0,0,0,0,0,0,0,0,0,False,0
1762377536.4522321,21:18:56,0,0,0,0,0,0,0,0,0,0,False,0
1762377541.9110377,21:19:01,0,0,0,0,0,0,0,0,0,0,False,0
1762377547.467354,21:19:07,0,0,0,0,0,0,0,0,0,0,False,0
1762377553.0310805,21:19:13,0,0,0,0,0,0,0,0,0,0,False,0
1762377558.5119798,21:19:18,0,0,0,0,0,0,0,0,0,0,False,0
1762377564.0326107,21:19:24,0,0,0,0,0,0,0,0,0,0,False,0
1762377569.605403,21:19:29,0,0,0,0,0,0,0,0,0,0,False,0
1762377575.1261675,21:19:35,0,0,0,0,0,0,0,0,0,0,False,0
1762377580.6297507,21:19:40,0,0,0,0,0,0,0,0,0,0,False,0
1762377586.1827214,21:19:46,0,0,0,0,0,0,0,0,0,0,False,0
1762377591.7679224,21:19:51,0,0,0,0,0,0,0,0,0,0,False,0
1762377597.2959242,21:19:57,0,0,0,0,0,0,0,0,0,0,False,0
1762377602.8595998,21:20:02,0,0,0,0,0,0,0,0,0,0,False,0
1762377608.7100883,21:20:08,0,0,0,0,0,0,0,0,0,0,False,0
1762377614.3376865,21:20:14,0,0,0,0,0,0,0,0,0,0,False,0
1762377619.8025205,21:20:19,0,0,0,0,0,0,0,0,0,0,False,0
1762377625.3067935,21:20:25,0,0,0,0,0,0,0,0,0,0,False,0
1762377630.7892888,21:20:30,0,0,0,0,0,0,0,0,0,0,False,0
1762377636.360593,21:20:36,0,0,0,0,0,0,0,0,0,0,False,0
1762377641.9103677,21:20:41,0,0,0,0,0,0,0,0,0,0,False,0
1762377647.4028788,21:20:47,0,0,0,0,0,0,0,0,0,0,False,0
1762377652.9390318,21:20:52,0,0,0,0,0,0,0,0,0,0,False,0
1762377658.5627446,21:20:58,0,0,0,0,0,0,0,0,0,0,False,0
1762377664.4506269,21:21:04,0,0,0,0,0,0,0,0,0,0,False,0
1762377670.4925358,21:21:10,0,0,0,0,0,0,0,0,0,0,False,0
1762377675.9582431,21:21:15,0,0,0,0,0,0,0,0,0,0,False,0
1762377681.4246533,21:21:21,0,0,0,0,0,0,0,0,0,0,False,0
1762377686.9300263,21:21:26,0,0,0,0,0,0,0,0,0,0,False,0
1762377692.4088967,21:21:32,0,0,0,0,0,0,0,0,0,0,False,0
1762377697.9951706,21:21:37,0,0,0,0,0,0,0,0,0,0,False,0
1762377703.4614732,21:21:43,0,0,0,0,0,0,0,0,0,0,False,0
1762377708.9574783,21:21:48,0,0,0,0,0,0,0,0,0,0,False,0
1762377714.4553683,21:21:54,0,0,0,0,0,0,0,0,0,0,False,0
1762377720.0568728,21:22:00,0,0,0,0,0,0,0,0,0,0,False,0
1762377725.5629058,21:22:05,0,0,0,0,0,0,0,0,0,0,False,0
1762377731.221389,21:22:11,0,0,0,0,0,0,0,0,0,0,False,0
1762377737.1002498,21:22:17,0,0,0,0,0,0,0,0,0,0,False,0
1762377742.5991263,21:22:22,0,0,0,0,0,0,0,0,0,0,False,0
1762377748.0560613,21:22:28,0,0,0,0,0,0,0,0,0,0,False,0
1762377753.6288393,21:22:33,0,0,0,0,0,0,0,0,0,0,False,0
1762377759.1911268,21:22:39,0,0,0,0,0,0,0,0,0,0,False,0
1762377764.7272704,21:22:44,0,0,0,0,0,0,0,0,0,0,False,0
1762377770.2855494,21:22:50,0,0,0,0,0,0,0,0,0,0,False,0
1762377775.834245,21:22:55,0,0,0,0,0,0,0,0,0,0,False,0
1762377781.3863003,21:23:01,0,0,0,0,0,0,0,0,0,0,False,0
1762377787.2923465,21:23:07,0,0,0,0,0,0,0,0,0,0,False,0
1762377792.8327653,21:23:12,0,0,0,0,0,0,0,0,0,0,False,0
1762377798.3009346,21:23:18,0,0,0,0,0,0,0,0,0,0,False,0
1762377803.8477542,21:23:23,0,0,0,0,0,0,0,0,0,0,False,0
1762377809.3666472,21:23:29,0,0,0,0,0,0,0,0,0,0,False,0
1762377814.8664105,21:23:34,0,0,0,0,0,0,0,0,0,0,False,0
1762377820.4806752,21:23:40,0,0,0,0,0,0,0,0,0,0,False,0
1762377826.052062,21:23:46,0,0,0,0,0,0,0,0,0,0,False,0
1762377831.5228486,21:23:51,0,0,0,0,0,0,0,0,0,0,False,0
1762377837.035538,21:23:57,0,0,0,0,0,0,0,0,0,0,False,0
1762377842.5454986,21:24:02,0,0,0,0,0,0,0,0,0,0,False,0
1762377848.0715103,21:24:08,0,0,0,0,0,0,0,0,0,0,False,0
1762377853.6242142,21:24:13,0,0,0,0,0,0,0,0,0,0,False,0
1762377859.1618378,21:24:19,0,0,0,0,0,0,0,0,0,0,False,0
1762377864.7504075,21:24:24,0,0,0,0,0,0,0,0,0,0,False,0
1762377870.2844267,21:24:30,0,0,0,0,0,0,0,0,0,0,False,0
1762377875.8712025,21:24:35,0,0,0,0,0,0,0,0,0,0,False,0
1762377881.4498262,21:24:41,0,0,0,0,0,0,0,0,0,0,False,0
1762377887.1981478,21:24:47,0,0,0,0,0,0,0,0,0,0,False,0
1762377892.8355556,21:24:52,0,0,0,0,0,0,0,0,0,0,False,0
1762377898.4161768,21:24:58,0,0,0,0,0,0,0,0,0,0,False,0
1762377904.6028068,21:25:04,0,0,0,0,0,0,0,0,0,0,False,0
1762377910.1182048,21:25:10,0,0,0,0,0,0,0,0,0,0,False,0
1762377915.6252668,21:25:15,0,0,0,0,0,0,0,0,0,0,False,0
1762377921.1575136,21:25:21,0,0,0,0,0,0,0,0,0,0,False,0
1762377926.7283628,21:25:26,0,0,0,0,0,0,0,0,0,0,False,0
1762377932.6108024,21:25:32,0,0,0,0,0,0,0,0,0,0,False,0
1762377938.1449072,21:25:38,0,0,0,0,0,0,0,0,0,0,False,0
1762377943.6717103,21:25:43,0,0,0,0,0,0,0,0,0,0,False,0
